Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,3,SQUISHED corpse on LEFT side,corpse,Police,zombie,Civilian,squish,left,0,715,N,N
2,3,SAVED healthy|corpse on LEFT side,healthy|corpse,Civilian|Civilian,zombie,Child,save,left,2,685,N,N
3,3,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,3,655,N,N
4,3,SAVED healthy on LEFT side,healthy,Civilian,healthy,Doctor,save,left,4,625,N,N
5,3,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Doctor,zombie,Child,squish,left,4,620,N,N
6,3,SAVED healthy|zombie on LEFT side,healthy|zombie,Militant|Child,healthy,Civilian,save,left,6,590,N,N
7,3,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Doctor,healthy,Child,squish,left,6,585,N,N
8,3,SQUISHED corpse on RIGHT side,corpse,Militant,corpse,Doctor,squish,right,6,580,N,N
9,3,"SCRAM - Left: injured, Right: healthy",injured,Civilian,healthy,Civilian,scram,both,6,580,N,N
10,3,"SCRAM - Left: injured, Right: healthy",injured,Civilian,healthy,Civilian,scram,both,0,460,N,N
11,3,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,zombie,Child,save,left,2,430,N,N
12,3,SAVED healthy on LEFT side,healthy,Police,healthy,Militant,save,left,3,400,N,N
13,3,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Child,healthy,Police,save,left,5,370,N,N
14,3,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Civilian,squish,left,5,365,N,N
15,3,SAVED healthy|healthy on LEFT side,healthy|healthy,Militant|Civilian,zombie,Militant,save,left,7,335,N,N
16,3,"SCRAM - Left: healthy, Right: injured",healthy,Civilian,injured,Civilian,scram,both,7,335,N,N
17,3,"SCRAM - Left: healthy, Right: injured",healthy,Civilian,injured,Civilian,scram,both,0,215,N,N
18,3,SAVED injured on LEFT side,injured,Doctor,healthy,Civilian,save,left,1,185,N,N
19,3,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,healthy,Doctor,save,left,3,155,N,N
20,3,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Civilian|Civilian,healthy,Civilian,squish,left,3,150,N,N
21,3,SQUISHED corpse on RIGHT side,zombie,Police,corpse,Child,squish,right,3,145,N,N
22,3,SQUISHED corpse on RIGHT side,healthy,Police,corpse,Child,squish,right,3,140,N,N
1,4,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Police|Child,healthy,Civilian,squish,left,0,715,N,N
2,4,SQUISHED corpse|injured on LEFT side,corpse|injured,Civilian|Child,healthy,Doctor,squish,left,0,710,N,N
3,4,SAVED healthy on LEFT side,healthy,Child,healthy,Civilian,save,left,1,680,N,N
4,4,SQUISHED zombie on LEFT side,zombie,Doctor,zombie,Child,squish,left,1,675,N,N
5,4,SQUISHED zombie on LEFT side,zombie,Police,healthy,Militant,squish,left,1,670,N,N
6,4,SAVED healthy on LEFT side,healthy,Doctor,healthy,Police,save,left,2,640,N,N
7,4,SAVED healthy on RIGHT side,healthy,Civilian,healthy,Civilian,save,right,3,610,N,N
8,4,SQUISHED zombie on LEFT side,zombie,Civilian,healthy,Police,squish,left,3,605,N,N
9,4,SAVED healthy|healthy on LEFT side,healthy|healthy,Police|Doctor,healthy,Civilian,save,left,4,575,N,N
10,4,SAVED healthy on RIGHT side,healthy,Civilian,healthy,Civilian,save,right,5,545,N,N
11,4,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,6,515,N,N
12,4,SAVED healthy on LEFT side,healthy,Doctor,healthy,Militant,save,left,7,485,N,N
13,4,SQUISHED zombie on LEFT side,zombie,Police,healthy,Civilian,squish,left,7,480,N,N
14,4,SAVED healthy on LEFT side,healthy,Police,zombie,Child,save,left,8,450,N,N
15,4,SAVED corpse on RIGHT side,injured|healthy,Civilian|Civilian,corpse,Child,save,right,10,420,N,N
16,4,SQUISHED corpse on RIGHT side,injured,Civilian,corpse,Child,squish,right,10,415,N,N
17,4,SQUISHED zombie on LEFT side,zombie,Civilian,healthy,Child,squish,left,10,410,N,N
18,4,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Doctor,zombie,Child,squish,left,10,405,N,N
1,5,SAVED healthy|healthy on LEFT side,healthy|healthy,Child|Civilian,corpse,Doctor,save,left,1,690,N,N
2,5,SQUISHED zombie on LEFT side,zombie,Doctor,corpse,Child,squish,left,1,685,N,N
3,5,SQUISHED zombie on LEFT side,zombie,Doctor,corpse,Militant,squish,left,1,680,N,N
4,5,SAVED healthy on RIGHT side,corpse,Civilian,healthy,Doctor,save,right,2,650,N,N
5,5,SQUISHED corpse on RIGHT side,zombie,Civilian,corpse,Civilian,squish,right,2,645,N,N
6,5,SAVED healthy|zombie on LEFT side,healthy|zombie,Civilian|Doctor,zombie|healthy,Civilian|Civilian,save,left,4,615,N,N
7,5,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Police|Civilian,corpse,Child,squish,left,4,610,N,N
8,5,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,healthy,Child,save,left,6,580,N,N
9,5,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,zombie,Civilian,save,left,8,550,N,N
10,5,SQUISHED zombie on RIGHT side,healthy|corpse,Doctor|Doctor,zombie,Civilian,squish,right,8,545,N,N
11,5,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Civilian,zombie,Child,squish,left,8,540,N,N
12,5,SQUISHED corpse|injured on LEFT side,corpse|injured,Militant|Civilian,injured,Civilian,squish,left,8,535,N,N
13,5,SAVED healthy on LEFT side,healthy,Militant,zombie,Child,save,left,9,505,N,N
14,5,"SCRAM - Left: healthy|zombie, Right: healthy",healthy|zombie,Civilian|Civilian,healthy,Civilian,scram,both,9,505,N,N
15,5,"SCRAM - Left: healthy|zombie, Right: healthy",healthy|zombie,Civilian|Civilian,healthy,Civilian,scram,both,0,385,N,N
16,5,SQUISHED corpse on RIGHT side,corpse,Child,corpse,Child,squish,right,0,350,N,N
17,5,SAVED healthy on LEFT side,healthy,Doctor,healthy,Civilian,save,left,1,320,N,N
18,5,SQUISHED corpse on RIGHT side,zombie|zombie,Child|Doctor,corpse,Doctor,squish,right,1,315,N,N
19,5,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Child|Civilian,injured,Child,squish,left,1,310,N,N
20,5,SQUISHED corpse on RIGHT side,healthy,Civilian,corpse,Doctor,squish,right,1,305,N,N
1,6,SQUISHED healthy on RIGHT side,corpse|injured,Civilian|Child,healthy,Doctor,squish,right,0,715,N,N
2,6,SAVED injured on LEFT side,injured,Doctor,zombie,Doctor,save,left,1,685,N,N
3,6,SAVED healthy on LEFT side,healthy,Child,healthy,Civilian,save,left,2,655,N,N
4,6,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Police|Civilian,corpse,Doctor,squish,left,2,650,N,N
5,6,SAVED healthy|healthy on RIGHT side,healthy|healthy,Civilian|Civilian,healthy|healthy,Child|Civilian,save,right,4,620,N,N
6,6,SQUISHED corpse|injured on LEFT side,corpse|injured,Civilian|Child,zombie,Child,squish,left,4,615,N,N
7,6,SQUISHED corpse on LEFT side,corpse,Civilian,injured,Civilian,squish,left,4,610,N,N
8,6,SQUISHED zombie on LEFT side,zombie,Child,zombie,Doctor,squish,left,4,605,N,N
9,6,SQUISHED corpse on RIGHT side,injured,Doctor,corpse,Police,squish,right,4,600,N,N
10,6,SQUISHED corpse on LEFT side,corpse,Doctor,,,squish,left,4,595,N,N
11,6,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Doctor,squish,left,4,590,N,N
12,6,SQUISHED zombie|injured on LEFT side,zombie|injured,Child|Civilian,healthy,Civilian,squish,left,4,585,N,N
13,6,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,healthy,Civilian,save,left,6,555,N,N
14,6,SQUISHED  on RIGHT side,corpse,Police,,,squish,right,6,550,N,N
15,6,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Police|Police,zombie,Child,squish,left,6,545,N,N
16,6,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Doctor|Child,healthy,Police,squish,left,6,540,N,N
17,6,SQUISHED corpse|zombie on RIGHT side,corpse|healthy,Civilian|Militant,corpse|zombie,Child|Civilian,squish,right,6,535,N,N
18,6,SQUISHED zombie on RIGHT side,healthy|corpse,Militant|Police,zombie,Civilian,squish,right,6,530,N,N
19,6,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Doctor,healthy,Child,squish,left,6,525,N,N
20,6,SQUISHED corpse on LEFT side,corpse,Civilian,injured,Doctor,squish,left,6,520,N,N
1,7,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Civilian,healthy,Child,squish,left,0,715,N,N
2,7,SQUISHED corpse on RIGHT side,healthy,Child,corpse,Child,squish,right,0,710,N,N
3,7,SQUISHED corpse on RIGHT side,healthy,Child,corpse,Child,squish,right,0,705,N,N
4,7,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Doctor|Militant,zombie,Doctor,squish,left,0,700,N,N
5,7,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Civilian|Police,healthy,Civilian,squish,left,0,695,N,N
6,7,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,zombie,Doctor,save,left,2,665,N,N
7,7,SAVED healthy on RIGHT side,corpse,Doctor,healthy,Civilian,save,right,3,635,N,N
8,7,SQUISHED corpse on LEFT side,corpse,Civilian,zombie,Civilian,squish,left,3,630,N,N
9,7,SQUISHED corpse on RIGHT side,healthy|corpse,Civilian|Civilian,corpse,Doctor,squish,right,3,625,N,N
10,7,SQUISHED corpse on RIGHT side,healthy,Civilian,corpse,Child,squish,right,3,620,N,N
11,7,SAVED injured on LEFT side,injured,Doctor,zombie,Civilian,save,left,4,590,N,N
12,7,SAVED healthy on LEFT side,healthy,Doctor,zombie,Child,save,left,5,560,N,N
13,7,SAVED healthy|injured on LEFT side,healthy|injured,Militant|Child,zombie,Child,save,left,6,530,N,N
14,7,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Child|Civilian,healthy,Civilian,squish,left,6,525,N,N
15,7,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Civilian,injured,Child,squish,left,6,520,N,N
16,7,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Police|Police,corpse,Doctor,squish,left,6,515,N,N
17,7,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,7,485,N,N
18,7,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Child|Doctor,healthy,Doctor,squish,left,7,480,N,N
19,7,"SCRAM - Left: healthy, Right: ",healthy,Child,,,scram,both,7,480,N,N
20,7,"SCRAM - Left: healthy, Right: ",healthy,Child,,,scram,both,0,360,N,N
21,7,SQUISHED zombie on LEFT side,zombie,Child,healthy,Child,squish,left,0,355,N,N
1,8,SAVED healthy on LEFT side,healthy,Child,,,save,left,1,690,N,N
2,8,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Militant|Doctor,healthy,Child,squish,left,1,685,N,N
3,8,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Militant,squish,left,1,680,N,N
4,8,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Doctor|Doctor,healthy,Civilian,squish,left,1,675,N,N
5,8,SQUISHED zombie on LEFT side,zombie,Child,injured,Doctor,squish,left,1,670,N,N
6,8,SQUISHED zombie on LEFT side,zombie,Child,corpse,Doctor,squish,left,1,665,N,N
7,8,SAVED healthy on LEFT side,healthy,Civilian,injured,Child,save,left,2,635,N,N
8,8,SQUISHED zombie on RIGHT side,injured|corpse,Doctor|Doctor,zombie,Civilian,squish,right,2,630,N,N
9,8,SQUISHED zombie on LEFT side,zombie,Civilian,zombie,Doctor,squish,left,2,625,N,N
10,8,SQUISHED corpse on RIGHT side,corpse,Police,corpse,Doctor,squish,right,2,620,N,N
11,8,SQUISHED corpse on LEFT side,corpse,Doctor,healthy,Police,squish,left,2,615,N,N
12,8,SQUISHED zombie|injured on LEFT side,zombie|injured,Child|Child,zombie,Child,squish,left,2,610,N,N
13,8,SQUISHED corpse on RIGHT side,healthy|corpse,Child|Child,corpse,Child,squish,right,2,605,N,N
14,8,SQUISHED corpse on RIGHT side,corpse,Civilian,corpse,Doctor,squish,right,2,600,N,N
15,8,SAVED healthy|zombie on LEFT side,healthy|zombie,Doctor|Militant,healthy,Militant,save,left,3,570,N,N
16,8,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,zombie,Child,save,left,5,540,N,N
17,8,SQUISHED corpse on RIGHT side,corpse,Civilian,corpse,Civilian,squish,right,5,535,N,N
18,8,SAVED healthy on RIGHT side,injured,Doctor,healthy,Doctor,save,right,6,505,N,N
19,8,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Doctor|Militant,zombie|healthy,Civilian|Civilian,squish,left,6,500,N,N
20,8,SAVED healthy|healthy on LEFT side,healthy|healthy,Police|Civilian,corpse,Child,save,left,7,470,N,N
1,9,SAVED healthy on LEFT side,healthy,Child,healthy,Civilian,save,left,1,690,N,N
2,9,SAVED healthy on LEFT side,healthy,Civilian,injured,Doctor,save,left,2,660,N,N
3,9,SAVED healthy|healthy on LEFT side,healthy|healthy,Child|Doctor,zombie,Militant,save,left,4,630,N,N
4,9,SQUISHED corpse on LEFT side,corpse,Militant,zombie,Child,squish,left,4,625,N,N
5,9,SAVED healthy on LEFT side,healthy,Militant,zombie,Police,save,left,5,595,N,N
6,9,SAVED injured on LEFT side,injured,Civilian,injured,Civilian,save,left,6,565,N,N
7,9,SAVED zombie on LEFT side,zombie,Civilian,,,save,left,6,535,N,N
8,9,SQUISHED corpse on RIGHT side,injured,Civilian,corpse,Child,squish,right,6,530,N,N
9,9,SQUISHED zombie on LEFT side,zombie,Police,healthy,Civilian,squish,left,6,525,N,N
10,9,SQUISHED corpse on RIGHT side,injured|corpse,Civilian|Child,corpse,Child,squish,right,6,520,N,N
11,9,SAVED healthy on LEFT side,healthy,Child,healthy,Civilian,save,left,7,490,N,N
12,9,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Child|Doctor,healthy|healthy,Child|Civilian,squish,left,7,485,N,N
13,9,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Militant,zombie|healthy,Civilian|Civilian,squish,left,7,480,N,N
14,9,SAVED healthy on LEFT side,healthy,Civilian,healthy,Doctor,save,left,8,450,N,N
15,9,"SCRAM - Left: zombie, Right: corpse",zombie,Doctor,corpse,Child,scram,both,8,450,N,N
16,9,"SCRAM - Left: zombie, Right: corpse",zombie,Doctor,corpse,Child,scram,both,0,330,N,N
17,9,SQUISHED corpse|zombie on RIGHT side,healthy|healthy,Doctor|Civilian,corpse|zombie,Police|Civilian,squish,right,0,325,N,N
18,9,SAVED healthy on RIGHT side,healthy,Civilian,healthy,Child,save,right,1,295,N,N
19,9,SQUISHED corpse on RIGHT side,healthy,Child,corpse,Civilian,squish,right,1,290,N,N
20,9,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Police|Child,corpse|healthy,Doctor|Civilian,squish,left,1,285,N,N
21,9,SAVED zombie on LEFT side,zombie,Doctor,,,save,left,1,255,N,N
1,10,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Civilian|Police,healthy,Civilian,squish,left,0,715,N,N
2,10,SQUISHED corpse|zombie on RIGHT side,healthy|healthy,Police|Child,corpse|zombie,Child|Civilian,squish,right,0,710,N,N
3,10,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Police,squish,left,0,705,N,N
4,10,SQUISHED corpse on RIGHT side,zombie,Doctor,corpse,Police,squish,right,0,700,N,N
5,10,SQUISHED zombie on LEFT side,zombie,Child,zombie,Doctor,squish,left,0,695,N,N
6,10,SAVED healthy|healthy on LEFT side,healthy|healthy,Doctor|Child,corpse,Child,save,left,1,665,N,N
7,10,SQUISHED corpse on RIGHT side,injured,Civilian,corpse,Doctor,squish,right,1,660,N,N
8,10,SQUISHED zombie on LEFT side,zombie,Civilian,zombie,Civilian,squish,left,1,655,N,N
9,10,SAVED healthy on LEFT side,healthy,Child,healthy,Doctor,save,left,2,625,N,N
10,10,SQUISHED corpse on RIGHT side,healthy,Civilian,corpse,Doctor,squish,right,2,620,N,N
11,10,SAVED healthy|zombie on LEFT side,healthy|zombie,Militant|Child,healthy,Police,save,left,4,590,N,N
12,10,"SCRAM - Left: healthy|zombie, Right: healthy",healthy|zombie,Civilian|Civilian,healthy,Civilian,scram,both,4,590,N,N
13,10,"SCRAM - Left: healthy|zombie, Right: healthy",healthy|zombie,Civilian|Civilian,healthy,Civilian,scram,both,0,470,N,N
14,10,SQUISHED corpse on RIGHT side,healthy,Civilian,corpse,Police,squish,right,0,465,N,N
15,10,SQUISHED corpse on RIGHT side,healthy,Civilian,corpse,Doctor,squish,right,0,460,N,N
16,10,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,healthy,Militant,save,left,2,430,N,N
17,10,SQUISHED corpse on LEFT side,corpse,Doctor,healthy,Militant,squish,left,2,425,N,N
18,10,SQUISHED  on RIGHT side,corpse,Child,,,squish,right,2,420,N,N
19,10,SQUISHED zombie on LEFT side,zombie,Child,,,squish,left,2,415,N,N
20,10,SQUISHED corpse on LEFT side,corpse,Child,zombie,Police,squish,left,2,410,N,N
21,10,SAVED healthy|zombie on LEFT side,healthy|zombie,Militant|Civilian,healthy,Civilian,save,left,3,380,N,N
1,11,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Child|Child,healthy,Civilian,squish,left,0,715,N,N
2,11,SAVED healthy on LEFT side,healthy,Civilian,injured,Child,save,left,1,685,N,N
3,11,SQUISHED zombie on LEFT side,zombie,Police,zombie,Militant,squish,left,1,680,N,N
4,11,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Civilian,squish,left,1,675,N,N
5,11,SAVED healthy|healthy on LEFT side,healthy|healthy,Police|Civilian,corpse,Doctor,save,left,2,645,N,N
6,11,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Civilian,squish,left,2,640,N,N
7,11,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Militant,healthy,Police,squish,left,2,635,N,N
8,11,SQUISHED injured on LEFT side,injured,Civilian,corpse,Civilian,squish,left,2,630,N,N
9,11,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Child|Child,zombie,Civilian,squish,left,2,625,N,N
10,11,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Doctor,squish,left,2,620,N,N
11,11,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Police,squish,left,2,615,N,N
12,11,SAVED healthy|healthy on LEFT side,healthy|healthy,Police|Child,zombie,Civilian,save,left,4,585,N,N
13,11,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Child|Civilian,healthy,Civilian,squish,left,4,580,N,N
14,11,SQUISHED corpse on RIGHT side,healthy,Militant,corpse,Child,squish,right,4,575,N,N
15,11,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,healthy,Doctor,save,left,6,545,N,N
16,11,SAVED healthy on RIGHT side,injured,Civilian,healthy,Police,save,right,7,515,N,N
17,11,SQUISHED corpse on LEFT side,corpse,Civilian,zombie,Child,squish,left,7,510,N,N
18,11,SQUISHED corpse on RIGHT side,healthy,Civilian,corpse,Civilian,squish,right,7,505,N,N
19,11,SQUISHED corpse|zombie on RIGHT side,healthy|healthy,Child|Police,corpse|zombie,Police|Civilian,squish,right,7,500,N,N
20,11,SQUISHED corpse on LEFT side,corpse,Police,healthy,Civilian,squish,left,7,495,N,N
1,12,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Doctor,healthy,Civilian,squish,left,0,715,N,N
2,12,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,corpse,Child,save,left,1,685,N,N
3,12,SQUISHED zombie on LEFT side,zombie,Doctor,corpse,Child,squish,left,1,680,N,N
4,12,SQUISHED corpse on RIGHT side,injured,Civilian,corpse,Doctor,squish,right,1,675,N,N
5,12,SQUISHED zombie on LEFT side,zombie,Police,corpse,Doctor,squish,left,1,670,N,N
6,12,SQUISHED zombie on LEFT side,zombie,Civilian,injured,Doctor,squish,left,1,665,N,N
7,12,SAVED healthy|zombie on LEFT side,healthy|zombie,Militant|Child,zombie|corpse,Civilian|Child,save,left,3,635,N,N
8,12,SQUISHED zombie on LEFT side,zombie,Police,healthy,Militant,squish,left,3,630,N,N
9,12,SQUISHED zombie on LEFT side,zombie,Child,,,squish,left,3,625,N,N
10,12,SQUISHED corpse on LEFT side,corpse,Doctor,,,squish,left,3,620,N,N
11,12,SQUISHED corpse on RIGHT side,healthy,Police,corpse,Police,squish,right,3,615,N,N
12,12,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Child|Doctor,zombie|healthy,Militant|Militant,squish,left,3,610,N,N
13,12,SQUISHED corpse on RIGHT side,healthy,Militant,corpse,Doctor,squish,right,3,605,N,N
14,12,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Civilian,squish,left,3,600,N,N
15,12,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,4,570,N,N
16,12,SQUISHED zombie on RIGHT side,corpse|corpse,Civilian|Doctor,zombie,Civilian,squish,right,4,565,N,N
17,12,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Civilian,healthy,Child,squish,left,4,560,N,N
18,12,SQUISHED corpse on RIGHT side,healthy,Doctor,corpse,Child,squish,right,4,555,N,N
19,12,SQUISHED corpse on LEFT side,corpse,Civilian,zombie,Doctor,squish,left,4,550,N,N
20,12,SQUISHED zombie|injured on LEFT side,zombie|injured,Child|Civilian,healthy,Civilian,squish,left,4,545,N,N
1,13,SAVED healthy|healthy on LEFT side,healthy|healthy,Child|Doctor,zombie,Child,save,left,1,690,N,N
2,13,SAVED healthy|corpse on LEFT side,healthy|corpse,Civilian|Civilian,healthy|corpse,Civilian|Doctor,save,left,3,660,N,N
3,13,SQUISHED corpse on LEFT side,corpse,Child,healthy,Militant,squish,left,3,655,N,N
4,13,SAVED healthy|healthy on LEFT side,healthy|healthy,Militant|Civilian,healthy,Doctor,save,left,5,625,N,N
5,13,SQUISHED corpse on RIGHT side,healthy,Police,corpse,Child,squish,right,5,620,N,N
6,13,SAVED healthy|zombie on LEFT side,healthy|zombie,Civilian|Civilian,healthy,Civilian,save,left,6,590,N,N
7,13,SQUISHED corpse on RIGHT side,healthy|healthy,Civilian|Civilian,corpse,Civilian,squish,right,6,585,N,N
8,13,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Militant|Civilian,corpse,Child,squish,left,6,580,N,N
9,13,SAVED healthy on LEFT side,healthy,Child,zombie,Civilian,save,left,7,550,N,N
10,13,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Child,healthy,Civilian,save,left,8,520,N,N
